comp_id,amort,curr_assets,curr_liab,extra_exp,extra_inc,extra_profit_loss,fixed_assets,inc_bef_tax,intang_assets,inventories,liq_assets,material_exp,personnel_exp,profit_loss_year,sales,share_eq,subscribed_cap,tang_assets,balsheet_flag,balsheet_length,balsheet_notfullyear,founded_year,ceo_count,foreign,female,birth_year,inoffice_days,nace_main,ind2,ind,urban_m,labor_avg,fechado,log_sales,company_age,gender_female,gender_male,gender_mix,origin_Domestic,origin_Foreign,origin_mix,region_m_Central,region_m_East,region_m_West
1003200.0,25.925926208496094,22.22222137451172,10996.2958984375,0.0,0.0,0.0,0.0,-2337.037109375,0.0,0.0,22.22222137451172,1933.3333740234373,1355.5555419921875,-2340.74072265625,2785.185302734375,-23785.185546875,1851.851806640625,0.0,0.0,365.0,0.0,2003.0,2.0,0.0,1.0,1968.6348254199954,1754.0,5630.0,56.0,3.0,1.0,0.18520798891280935,0.0,7.932069686138762,9.0,1,0,0,1,0,0,1,0,0
1022796.0,688.888916015625,6166.66650390625,6792.5927734375,0.0,0.0,0.0,5133.33349609375,-1262.9630126953125,0.0,555.5555419921875,3133.333251953125,17629.62890625,8070.37060546875,-1311.111083984375,26096.296875,3718.5185546875,3703.70361328125,5133.33349609375,0.0,365.0,0.0,2001.0,1.0,0.0,0.0,1969.0,5201.0,5630.0,56.0,3.0,1.0,0.0833333358168602,0.0,10.169548701060647,11.0,0,1,0,1,0,0,1,0,0
1340059.0,144.44444274902344,5092.5927734375,14148.1484375,0.0,0.0,0.0,203.7037048339844,-4070.370361328125,0.0,366.6666564941406,4725.92578125,30225.92578125,6685.18505859375,-4100.0,34211.109375,-9770.3701171875,1851.851806640625,203.7037048339844,0.0,365.0,0.0,2010.0,1.0,0.0,1.0,1948.0,2432.0,5610.0,56.0,3.0,1.0,0.0909090936183929,1.0,10.440305705829376,2.0,1,0,0,1,0,0,1,0,0
1627539.0,59.25925827026367,22011.111328125,44948.1484375,0.0,0.0,0.0,0.0,-21255.5546875,0.0,0.0,20751.8515625,99011.109375,5100.0,-21577.77734375,85418.515625,-22400.0,1851.851806640625,0.0,0.0,365.0,0.0,2011.0,1.0,1.0,0.0,1971.3818517255866,420.0,5610.0,56.0,3.0,2.0,0.0833333358168602,1.0,11.35531816687383,1.0,0,1,0,0,1,0,0,1,0
1885666.0,0.0,8359.2587890625,14955.5556640625,0.0,0.0,0.0,0.0,922.2222290039062,0.0,40.74074172973633,2111.111083984375,6462.962890625,1540.74072265625,874.0740966796875,9940.7412109375,-6596.29638671875,1851.851806640625,0.0,0.0,365.0,0.0,2009.0,1.0,0.0,1.0,1982.0,2804.0,5610.0,56.0,3.0,2.0,0.0833333358168602,0.0,9.204396865375305,3.0,1,0,0,1,0,0,0,0,1
2407000.0,0.0,14425.92578125,17011.111328125,0.0,0.0,0.0,13570.3701171875,659.25927734375,0.0,7544.4443359375,1711.111083984375,37014.81640625,15892.5927734375,551.8518676757812,49333.33203125,3577.77783203125,1851.851806640625,13570.3701171875,0.0,365.0,0.0,2010.0,1.0,0.0,0.0,1982.0,1965.0,5610.0,56.0,3.0,2.0,0.1319444477558136,0.0,10.806355237684562,2.0,0,1,0,1,0,0,1,0,0
8516875.0,4385.18505859375,5607.4072265625,35766.66796875,0.0,0.0,0.0,837.0370483398436,-15255.5556640625,0.0,2148.148193359375,925.9259033203124,22592.591796875,7255.5556640625,-15274.07421875,19637.037109375,-30988.888671875,3703.70361328125,837.0370483398436,0.0,365.0,0.0,2007.0,1.0,0.0,0.0,1969.0,1774.0,5630.0,56.0,3.0,1.0,0.2430555522441864,1.0,9.885172710516484,5.0,0,1,0,1,0,0,1,0,0
8669185.0,518.5184936523438,66.66666412353516,5318.5185546875,0.0,0.0,0.0,1240.74072265625,-5837.037109375,0.0,0.0,66.66666412353516,11911.111328125,6251.85205078125,-5862.962890625,13296.2958984375,-4011.111083984375,1851.851806640625,1240.74072265625,0.0,318.0,1.0,2012.0,1.5779664171332932,0.49927643373253444,0.4982093683770574,1970.0918642166603,1035.8844790056173,5610.0,56.0,3.0,2.0,0.0833333358168602,0.0,9.495240771543559,0.0,1,0,0,1,0,0,0,1,0
10682657.0,1055.5555419921875,200607.40625,44333.33203125,0.0,0.0,0.0,7685.18505859375,16214.814453125,0.0,0.0,10492.5927734375,32148.1484375,35603.703125,16218.5185546875,88692.59375,129581.4765625,740.74072265625,7685.18505859375,0.0,365.0,0.0,2000.0,1.0,0.0,1.0,1957.0,2348.0,2920.0,29.0,1.0,3.0,0.6833333373069763,0.0,11.392931667066332,12.0,1,0,0,1,0,0,0,0,1
11563854.0,133.3333282470703,5474.07421875,2933.333251953125,0.0,0.0,0.0,637.0370483398438,4825.92578125,0.0,0.0,1862.9630126953125,8244.4443359375,6055.5556640625,4622.22216796875,19759.259765625,3125.926025390625,1851.851806640625,637.0370483398438,0.0,365.0,0.0,2010.0,1.0,0.0,0.0,1977.0,1728.0,5630.0,56.0,3.0,3.0,0.0833333358168602,0.0,9.891377509346373,2.0,0,1,0,1,0,0,0,0,1
17689372.0,0.0,1688.888916015625,24896.296875,0.0,0.0,0.0,907.4074096679688,-2555.5556640625,0.0,1318.5185546875,370.370361328125,9574.07421875,5525.92578125,-2562.962890625,12577.77734375,-22300.0,37.03703689575195,907.4074096679688,0.0,365.0,0.0,2006.0,1.0,0.0,0.0,1954.0,2838.0,5630.0,56.0,3.0,3.0,0.0833333358168602,0.0,9.43968683290749,6.0,0,1,0,1,0,0,0,0,1
19044224.0,0.0,13555.5556640625,52670.37109375,0.0,0.0,0.0,0.0,-16374.07421875,0.0,9677.77734375,111.1111068725586,54007.40625,14485.185546875,-16425.92578125,54540.7421875,-39114.81640625,1851.851806640625,0.0,0.0,365.0,0.0,2010.0,1.0,0.0,1.0,1986.0,945.0,5630.0,56.0,3.0,2.0,0.2750000059604645,1.0,10.906703264438637,2.0,1,0,0,1,0,0,0,1,0
19572992.0,292.59259033203125,16266.6669921875,4629.62939453125,0.0,0.0,0.0,0.0,9818.5185546875,0.0,644.4444580078125,14766.6669921875,17981.482421875,503.7037048339844,8844.4443359375,28962.962890625,10974.07421875,2222.22216796875,0.0,0.0,365.0,0.0,2011.0,1.0,0.0,0.0,1980.0,890.0,5610.0,56.0,3.0,2.0,0.1388888955116272,0.0,10.273773151025516,1.0,0,1,0,1,0,0,0,1,0
